# packages in environment at /users/evakrzisnik/.conda/envs/nanopack:
#
# Name                    Version                   Build  Channel
libevent                  2.1.12               hf998b51_1    conda-forge
libexpat                  2.7.1                hecca717_0    conda-forge
libffi                    3.4.6                h2dba641_1    conda-forge
libgcc                    15.2.0               h767d61c_6    conda-forge
libgcc-devel_linux-64     15.2.0             h73f6952_106    conda-forge
libgcc-ng                 15.2.0               h69a702a_6    conda-forge
libgfortran               15.2.0               h69a702a_6    conda-forge
libgfortran5              15.2.0               hcd61629_6    conda-forge
libgomp                   15.2.0               h767d61c_6    conda-forge
libgoogle-cloud           2.39.0               hdb79228_0    conda-forge
libgoogle-cloud-storage   2.39.0               hdbdcf42_0    conda-forge
libgrpc                   1.73.1               h1e535eb_0    conda-forge
libiconv                  1.18                 h3b78370_2    conda-forge
liblapack                 3.9.0           36_h47877c9_openblas    conda-forge
libllvm21                 21.1.3               hf7376ad_0    conda-forge
liblzma                   5.8.1                hb9d3cd8_2    conda-forge
libmpdec                  4.0.0                hb9d3cd8_0    conda-forge
libnghttp2                1.67.0               had1ee68_0    conda-forge
libopenblas               0.3.30          pthreads_h94d23a6_2    conda-forge
libopentelemetry-cpp      1.21.0               hb9b0907_1    conda-forge
libopentelemetry-cpp-headers 1.21.0               ha770c72_1    conda-forge
libparquet                21.0.0           h790f06f_8_cpu    conda-forge
libpng                    1.6.50               h421ea60_1    conda-forge
libprotobuf               6.31.1               h9ef548d_1    conda-forge
libre2-11                 2025.08.12           h7b12aa8_1    conda-forge
libsqlite                 3.50.4               h0c1763c_0    conda-forge
libssh2                   1.11.1               hcf80075_0    conda-forge
libstdcxx                 15.2.0               h8f9b012_6    conda-forge
libstdcxx-ng              15.2.0               h4852527_6    conda-forge
libthrift                 0.22.0               h454ac66_1    conda-forge
libutf8proc               2.11.0               hb04c3b8_0    conda-forge
libuuid                   2.41.2               he9a06e4_0    conda-forge
libxml2                   2.15.0               h26afc86_1    conda-forge
libxml2-16                2.15.0               ha9997c6_1    conda-forge
libzlib                   1.3.1                hb9d3cd8_2    conda-forge
llvm-openmp               21.1.2               h4922eb0_3    conda-forge
logistro                  1.1.0              pyhe01879c_0    conda-forge
lz4-c                     1.10.0               h5888daf_1    conda-forge
nanoget                   1.19.3             pyhdfd78af_0    bioconda
nanoplot                  1.46.1             pyhdfd78af_0    bioconda
nanoqc                    0.10.0             pyhdfd78af_0    bioconda
narwhals                  2.7.0              pyhcf101f3_0    conda-forge
ncurses                   6.5                  h2d0b736_3    conda-forge
nlohmann_json             3.12.0               h54a6638_1    conda-forge
numpy                     2.3.3           py313hf6604e3_0    conda-forge
openssl                   3.5.4                h26f9b46_0    conda-forge
orc                       2.2.1                hd747db4_0    conda-forge
orjson                    3.11.3          py313h843e2db_1    conda-forge
packaging                 25.0               pyh29332c3_1    conda-forge
pandas                    2.3.3           py313h08cd8bf_1    conda-forge
pip                       25.2               pyh145f28c_0    conda-forge
plotly                    6.3.1              pyhd8ed1ab_0    conda-forge
prometheus-cpp            1.3.0                ha5d0236_0    conda-forge
pyarrow                   21.0.0          py313h78bf25f_1    conda-forge
pyarrow-core              21.0.0          py313he109ebe_1_cpu    conda-forge
pysam                     0.23.3                   pypi_0    pypi
python                    3.13.7          h2b335a9_100_cp313    conda-forge
python-dateutil           2.9.0.post0        pyhe01879c_2    conda-forge
python-kaleido            1.0.0              pyhe01879c_1    conda-forge
python-tzdata             2025.2             pyhd8ed1ab_0    conda-forge
python_abi                3.13                    8_cp313    conda-forge
pytz                      2025.2             pyhd8ed1ab_0    conda-forge
re2                       2025.08.12           h5301d42_1    conda-forge
readline                  8.2                  h8c095d6_2    conda-forge
s2n                       1.5.26               h5ac9029_0    conda-forge
scipy                     1.16.2          py313h11c21cd_0    conda-forge
simplejson                3.20.2          py313h07c4f96_0    conda-forge
six                       1.17.0             pyhe01879c_1    conda-forge
snappy                    1.2.2                h03e3b7b_0    conda-forge
sysroot_linux-64          2.34                 h087de78_2    conda-forge
tk                        8.6.13          noxft_hd72426e_102    conda-forge
tzdata                    2025b                h78e105d_0    conda-forge
zlib                      1.3.1                hb9d3cd8_2    conda-forge
zstd                      1.5.7                hb8e6e7a_2    conda-forge
