# packages in environment at /users/timg/.conda/envs/gaqet:
#
# Name                    Version                   Build  Channel
perl-constant             1.33            pl5321hdfd78af_2    bioconda
perl-cpan-meta-check      0.014           pl5321hdfd78af_1    bioconda
perl-cpan-meta-requirements 2.143           pl5321hdfd78af_0    bioconda
perl-data-dump            1.25            pl5321h7b50bb2_2    bioconda
perl-data-optlist         0.114           pl5321ha770c72_1    conda-forge
perl-dbi                  1.647           pl5321hb03c661_0    conda-forge
perl-devel-globaldestruction 0.14            pl5321hdfd78af_1    bioconda
perl-devel-overloadinfo   0.007           pl5321hdfd78af_0    bioconda
perl-devel-stacktrace     2.04            pl5321hdfd78af_1    bioconda
perl-digest-hmac          1.05            pl5321hdfd78af_0    bioconda
perl-digest-md5           2.59            pl5321hb9d3cd8_3    conda-forge
perl-dist-checkconflicts  0.11            pl5321hdfd78af_3    bioconda
perl-encode               3.21            pl5321hb9d3cd8_1    conda-forge
perl-encode-locale        1.05            pl5321hdfd78af_7    bioconda
perl-eval-closure         0.14            pl5321h9f5acd7_6    bioconda
perl-exporter             5.74            pl5321hd8ed1ab_0    conda-forge
perl-exporter-tiny        1.002002        pl5321hdfd78af_0    bioconda
perl-extutils-makemaker   7.70            pl5321hd8ed1ab_0    conda-forge
perl-file-chdir           0.1011          pl5321hd8ed1ab_0    conda-forge
perl-file-listing         6.16            pl5321hdfd78af_0    bioconda
perl-file-path            2.18            pl5321hd8ed1ab_0    conda-forge
perl-file-share           0.25            pl5321hdfd78af_3    bioconda
perl-file-sharedir        1.118           pl5321hdfd78af_0    bioconda
perl-file-sharedir-install 0.14            pl5321hdfd78af_0    bioconda
perl-file-spec            3.48_01         pl5321hdfd78af_2    bioconda
perl-file-temp            0.2304          pl5321hd8ed1ab_0    conda-forge
perl-file-which           1.24            pl5321hd8ed1ab_0    conda-forge
perl-getopt-long          2.58            pl5321hdfd78af_0    bioconda
perl-graph                0.9735          pl5321hdfd78af_0    bioconda
perl-heap                 0.80            pl5321hdfd78af_1    bioconda
perl-html-parser          3.83            pl5321h9948957_1    bioconda
perl-html-tagset          3.24            pl5321hdfd78af_0    bioconda
perl-http-cookiejar-lwp   0.014           pl5321hdfd78af_0    bioconda
perl-http-cookies         6.11            pl5321hdfd78af_0    bioconda
perl-http-daemon          6.16            pl5321hdfd78af_0    bioconda
perl-http-date            6.06            pl5321hdfd78af_0    bioconda
perl-http-message         7.01            pl5321hdfd78af_0    bioconda
perl-http-negotiate       6.01            pl5321hdfd78af_4    bioconda
perl-inc-latest           0.500           pl5321ha770c72_0    conda-forge
perl-io-compress          2.214           pl5321h503566f_0    bioconda
perl-io-html              1.004           pl5321hdfd78af_0    bioconda
perl-io-socket-ssl        2.075           pl5321hd8ed1ab_0    conda-forge
perl-io-tty               1.20            pl5321hb9d3cd8_3    conda-forge
perl-io-zlib              1.15            pl5321hdfd78af_1    bioconda
perl-ipc-run              20250809.0      pl5321hdfd78af_0    bioconda
perl-ipc-sharelite        0.17            pl5321h9948957_7    bioconda
perl-json                 4.10            pl5321hdfd78af_1    bioconda
perl-json-xs              4.04            pl5321h9948957_0    bioconda
perl-libwww-perl          6.81            pl5321hdfd78af_0    bioconda
perl-list-moreutils       0.430           pl5321hdfd78af_0    bioconda
perl-list-moreutils-xs    0.430           pl5321h7b50bb2_5    bioconda
perl-lwp-mediatypes       6.04            pl5321hdfd78af_1    bioconda
perl-lwp-protocol-https   6.14            pl5321hdfd78af_1    bioconda
perl-mime-base64          3.16            pl5321hec16e2b_2    bioconda
perl-module-build         0.4234          pl5321ha770c72_1    conda-forge
perl-module-implementation 0.09            pl5321hdfd78af_3    bioconda
perl-module-load          0.34            pl5321hdfd78af_0    bioconda
perl-module-metadata      1.000038        pl5321hdfd78af_0    bioconda
perl-module-runtime       0.016           pl5321hdfd78af_2    bioconda
perl-module-runtime-conflicts 0.003           pl5321hdfd78af_1    bioconda
perl-moo                  2.005004        pl5321hdfd78af_0    bioconda
perl-moose                2.2207          pl5321hb9d3cd8_2    conda-forge
perl-mozilla-ca           20250602        pl5321hdfd78af_0    bioconda
perl-mro-compat           0.15            pl5321hdfd78af_0    bioconda
perl-net-http             6.24            pl5321hdfd78af_0    bioconda
perl-net-ssleay           1.94            pl5321hf672d98_1    conda-forge
perl-ntlm                 1.09            pl5321hdfd78af_5    bioconda
perl-package-deprecationmanager 0.18            pl5321ha770c72_2    conda-forge
perl-package-stash        0.40            pl5321h87f3376_1    bioconda
perl-package-stash-xs     0.30            pl5321hb9d3cd8_2    conda-forge
perl-parallel-forkmanager 2.04            pl5321hdfd78af_0    bioconda
perl-params-util          1.102           pl5321h9f5acd7_1    bioconda
perl-parent               0.243           pl5321hd8ed1ab_0    conda-forge
perl-pathtools            3.75            pl5321hec16e2b_3    bioconda
perl-pod-escapes          1.07            pl5321hdfd78af_2    bioconda
perl-regexp-common        2017060201      pl5321hdfd78af_1    bioconda
perl-role-tiny            2.002004        pl5321hdfd78af_0    bioconda
perl-safe                 2.37            pl5321hdfd78af_2    bioconda
perl-scalar-list-utils    1.70            pl5321hb03c661_0    conda-forge
perl-set-object           1.43            pl5321h7b50bb2_0    bioconda
perl-socket               2.027           pl5321h5c03b87_6    bioconda
perl-sort-naturally       1.03            pl5321hdfd78af_3    bioconda
perl-statistics-r         0.34            pl5321r42hdfd78af_5    bioconda
perl-storable             3.15            pl5321hec16e2b_3    bioconda
perl-sub-exporter         0.991           pl5321ha770c72_1    conda-forge
perl-sub-exporter-progressive 0.001013        pl5321hdfd78af_1    bioconda
perl-sub-identify         0.14            pl5321hec16e2b_2    bioconda
perl-sub-install          0.928           pl5321hdfd78af_3    bioconda
perl-sub-name             0.28            pl5321hb9d3cd8_1    conda-forge
perl-sub-quote            2.006006        pl5321hdfd78af_0    bioconda
perl-term-progressbar     2.23            pl5321hdfd78af_0    bioconda
perl-test                 1.26            pl5321hdfd78af_2    bioconda
perl-test-cleannamespaces 0.24            pl5321hdfd78af_1    bioconda
perl-test-fatal           0.016           pl5321hdfd78af_0    bioconda
perl-test-harness         3.44            pl5321hdfd78af_0    bioconda
perl-test-needs           0.002009        pl5321hdfd78af_0    bioconda
perl-test-requiresinternet 0.05            pl5321hdfd78af_1    bioconda
perl-test-warnings        0.031           pl5321hdfd78af_0    bioconda
perl-text-balanced        2.07            pl5321hdfd78af_0    bioconda
perl-text-wrap            2021.0814       pl5321hdfd78af_0    bioconda
perl-time-local           1.35            pl5321hdfd78af_0    bioconda
perl-timedate             2.33            pl5321hdfd78af_2    bioconda
perl-try-tiny             0.31            pl5321hdfd78af_1    bioconda
perl-types-serialiser     1.01            pl5321hdfd78af_0    bioconda
perl-uri                  5.17            pl5321ha770c72_0    conda-forge
perl-url-encode           0.03            pl5321h9ee0642_1    bioconda
perl-vars                 1.03            pl5321hdfd78af_2    bioconda
perl-version              0.9933          pl5321hb9d3cd8_0    conda-forge
perl-www-robotrules       6.02            pl5321hdfd78af_4    bioconda
perl-xsloader             0.24            pl5321hd8ed1ab_0    conda-forge
perl-yaml                 1.30            pl5321hdfd78af_0    bioconda
pigz                      2.8                  h421ea60_2    conda-forge
pillow                    12.0.0          py310h049bd52_1    conda-forge
pip                       25.3               pyh8b19718_0    conda-forge
pixman                    0.46.4               h54a6638_1    conda-forge
ply                       3.11               pyhd8ed1ab_3    conda-forge
pp                        1.6.4.4                    py_0    bioconda
prank                     170427               h9948957_1    bioconda
prodigal                  2.6.3               h577a1d6_11    bioconda
property-manager          3.0                        py_0    conda-forge
psauron                   1.1.0              pyhdfd78af_0    bioconda
pthread-stubs             0.4               hb9d3cd8_1002    conda-forge
pulseaudio-client         17.0                 hac146a9_1    conda-forge
py-cpuinfo                9.0.0              pyhd8ed1ab_1    conda-forge
pycparser                 2.23            py310h06a4308_0  
pymongo                   4.16.0          py310hea6c23e_0    conda-forge
pyparsing                 3.3.2              pyhcf101f3_0    conda-forge
pyqt                      5.15.11         py310h046fae5_2    conda-forge
pyqt5-sip                 12.17.0         py310hea6c23e_2    conda-forge
pysais                    1.1.0           py310h20b60a1_2    bioconda
pysocks                   1.7.1           py310hff52083_5    conda-forge
pytables                  3.10.1          py310h431dcdc_4    conda-forge
python                    3.10.0          h543edf9_3_cpython    conda-forge
python-dateutil           2.9.0post0      py310h06a4308_2  
python-isal               1.8.0           py310h7c4b9e2_1    conda-forge
python-tzdata             2025.3             pyhd8ed1ab_0    conda-forge
python-zlib-ng            1.0.0           py310hc104931_1    conda-forge
python_abi                3.10                    6_cp310    conda-forge
pytorch                   2.7.0           cpu_openblas_py310he01d819_2  
pytz                      2025.2             pyhd8ed1ab_0    conda-forge
pyyaml                    6.0.3           py310h3406613_0    conda-forge
qhull                     2020.2               h434a139_5    conda-forge
qt-main                   5.15.15              h3a7ef08_5    conda-forge
r-base                    4.2.3               h2d83a99_19    conda-forge
rav1e                     0.7.1                h8fae777_3    conda-forge
raxml                     8.2.13               h7b50bb2_3    bioconda
readline                  8.3                  h853b02a_0    conda-forge
requests                  2.32.5             pyhcf101f3_1    conda-forge
rmath4                    4.3.1           py310h1fe012e_2    bioconda
samtools                  1.22.1               h96c455f_0    bioconda
scipy                     1.15.3          py310ha592af2_1  
seaborn                   0.13.2               hd8ed1ab_3    conda-forge
seaborn-base              0.13.2             pyhd8ed1ab_3    conda-forge
sed                       4.9                  h6688a6e_0    conda-forge
sepp                      4.5.5           py310h1fe012e_3    bioconda
seqtk                     1.5                  h577a1d6_1    bioconda
setuptools                80.10.1            pyh332efcf_0    conda-forge
sip                       6.10.0          py310hea6c23e_1    conda-forge
six                       1.17.0             pyhe01879c_1    conda-forge
sleef                     3.9.0                ha0421bc_0    conda-forge
snappy                    1.2.2                h03e3b7b_1    conda-forge
sniffio                   1.3.1              pyhd8ed1ab_2    conda-forge
sqlite                    3.51.2               hbc0de68_0    conda-forge
statsmodels               0.14.6          py310hf779ad0_0    conda-forge
suitesparse               7.10.1          h5b2951e_7100101    conda-forge
svt-av1                   4.0.0                hecca717_0    conda-forge
sympy                     1.14.0           pyh2585a3b_105    conda-forge
sysroot_linux-64          2.34                 h087de78_3    conda-forge
tar                       1.35                 h3b78370_0    conda-forge
tesorter                  1.4.7              pyhdfd78af_0    bioconda
tk                        8.6.15               h54e0aa7_0  
tktable                   2.10                 h8d826fa_7    conda-forge
toml                      0.10.2             pyhcf101f3_3    conda-forge
tomli                     2.4.0              pyhcf101f3_0    conda-forge
torchaudio                2.7.1           cpu_py310h3179bb4_1    conda-forge
torchvision               0.22.0          cpu_py310_h8dbc4bf_0    conda-forge
torchvision-extra-decoders 0.0.2           py310h18ecd09_3    conda-forge
tqdm                      4.67.1             pyhd8ed1ab_1    conda-forge
typing-extensions         4.15.0               h396c80c_0    conda-forge
typing_extensions         4.15.0             pyhcf101f3_0    conda-forge
tzdata                    2025c                hc9c84f9_1    conda-forge
ucsc-fatotwobit           482                  hdc0a859_0    bioconda
ucsc-twobitinfo           482                  hdc0a859_0    bioconda
unicodedata2              17.0.0          py310h7c4b9e2_1    conda-forge
urllib3                   2.6.3              pyhd8ed1ab_0    conda-forge
verboselogs               1.7                pyhd8ed1ab_1    conda-forge
wget                      1.25.0               hc2d8bac_0    conda-forge
wheel                     0.46.3             pyhd8ed1ab_0    conda-forge
wrapt                     2.0.1           py310h7c4b9e2_1    conda-forge
x265                      3.5                  h924138e_3    conda-forge
xcb-util                  0.4.1                h4f16b4b_2    conda-forge
xcb-util-image            0.4.0                hb711507_2    conda-forge
xcb-util-keysyms          0.4.1                hb711507_0    conda-forge
xcb-util-renderutil       0.3.10               hb711507_0    conda-forge
xcb-util-wm               0.4.2                hb711507_0    conda-forge
xkeyboard-config          2.46                 hb03c661_0    conda-forge
xopen                     2.0.2           py310hff52083_0    conda-forge
xorg-libice               1.1.2                hb9d3cd8_0    conda-forge
xorg-libsm                1.2.6                he73a12e_0    conda-forge
xorg-libx11               1.8.12               h4f16b4b_0    conda-forge
xorg-libxau               1.0.12               hb03c661_1    conda-forge
xorg-libxcomposite        0.4.6                hb9d3cd8_2    conda-forge
xorg-libxdamage           1.1.6                hb9d3cd8_0    conda-forge
xorg-libxdmcp             1.1.5                hb03c661_1    conda-forge
xorg-libxext              1.3.7                hb03c661_0    conda-forge
xorg-libxfixes            6.0.2                hb03c661_0    conda-forge
xorg-libxi                1.8.2                hb9d3cd8_0    conda-forge
xorg-libxrandr            1.5.5                hb03c661_0    conda-forge
xorg-libxrender           0.9.12               hb9d3cd8_0    conda-forge
xorg-libxshmfence         1.3.3                hb9d3cd8_0    conda-forge
xorg-libxt                1.3.1                hb9d3cd8_0    conda-forge
xorg-libxtst              1.2.5                hb9d3cd8_3    conda-forge
xorg-libxxf86vm           1.1.7                hb03c661_0    conda-forge
